Date,Revenue,EPS,Consensus EPS,PEG
03/31/2020,17737000,1.71,1.75,1.15
12/31/2019,21082000,2.56,2.53,1.542
09/30/2019,17652000,2.12,1.91,1.325
06/30/2019,16886000,0.91,1.88,1.534
03/31/2019,15077000,0.85,,1.363
12/31/2018,16914000,2.38,,0.9736
09/30/2018,13727000,1.76,,0.9147
06/30/2018,13231000,1.74,,1.103
03/31/2018,11966000,1.69,,0.9091
12/31/2017,12972000,1.44,,1.07
09/30/2017,10328000,1.59,,1.285
06/30/2017,9321000,1.32,,1.356
03/31/2017,8032000,1.04,,1.411
12/31/2016,8809000,1.21,,1.209
09/30/2016,7011000,0.90,,1.495
06/30/2016,6436000,0.78,,1.737
03/31/2016,5382000,0.60,,2.049
12/31/2015,5841000,0.55,,2.584
09/30/2015,4501000,0.31,,2.92
06/30/2015,4042000,0.25,,2.937
03/31/2015,3543000,0.18,,2.559
12/31/2014,3851000,0.25,,2.087
09/30/2014,3203000,0.30,,2.375
06/30/2014,2910000,0.30,,2.278
03/31/2014,2502000,0.25,,2.553
12/31/2013,2585000,0.21,,3.136
09/30/2013,2016000,0.17,,3.61
06/30/2013,1813000,0.13,,2.556
03/31/2013,1458000,0.09,,6.035
12/31/2012,1585000,0.03,,6.316
09/30/2012,1262000,-0.02,,
06/30/2012,1184000,-0.08,,
03/31/2012,1058000,0.09,,
12/31/2011,1131000,0.14,,
